"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"26",1e-05,1e-05,0.000818,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999002,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"27",1e-05,1.1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999808,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.2e-05,1e-05,1e-05,1e-05
"28",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"29",1e-05,1e-05,1e-05,1e-05,1.3e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999807
"30",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981
"31",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981
"32",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981
"33",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981
"34",1.4e-05,1e-05,0.286442,1e-05,0.04371,1e-05,1.4e-05,1e-05,0.010128,0.065027,1e-05,1e-05,0.092426,1e-05,0.050622,0.016731,0.434786,1e-05,1e-05,1e-05
"35",1e-05,1e-05,1e-05,1e-05,1e-05,1.6e-05,1e-05,1e-05,1.2e-05,0.9998,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.2e-05,1e-05,1e-05,1e-05
"36",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.2e-05,1e-05,1e-05,0.999808,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"37",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999809,1e-05,1.1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"38",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"39",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.628116,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.318988,1e-05,0.052726,1e-05
"40",1e-05,0.188946,0.747927,1e-05,1e-05,1e-05,1e-05,0.062957,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"41",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.231806,1e-05,1e-05,1e-05,1e-05,1e-05,0.070625,0.403555,1e-05,0.293854,1e-05
"42",0.053389,1e-05,1e-05,1e-05,0.035509,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.824436,0.015082,0.071434,1e-05,1e-05,1e-05
"43",0.038264,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.021779,1e-05,0.939787,1e-05,1e-05,1e-05,1e-05,1e-05
"44",0.01008,1e-05,1e-05,1e-05,0.019679,1e-05,0.040241,1e-05,1e-05,0.017868,1e-05,1e-05,0.123521,1e-05,0.722751,1e-05,0.065731,1e-05,1e-05,1e-05
"45",0.055518,1e-05,0.0658,1e-05,0.023846,1e-05,0.020192,1e-05,0.043666,0.027115,1e-05,1e-05,1e-05,1e-05,0.763732,1e-05,1e-05,1e-05,1e-05,1e-05
"46",0.043439,1e-05,1e-05,1e-05,1e-05,1e-05,0.030246,1e-05,1e-05,0.009958,1e-05,1e-05,1e-05,1e-05,0.853226,0.014727,0.048265,1e-05,1e-05,1e-05
"47",0.025916,1e-05,0.071384,1e-05,1e-05,1e-05,0.019751,1e-05,1e-05,0.027182,1e-05,1e-05,0.787364,1e-05,0.048698,0.010475,1e-05,1e-05,0.009111,1e-05
"48",0.714932,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.284888,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"49",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"50",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.836063,1e-05,0.163757,1e-05,1e-05,1e-05,1e-05,1e-05
"51",1e-05,0.004342,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.530793,1e-05,0.464695,1e-05,1e-05,1e-05,1e-05,1e-05
"52",0.04407,1e-05,1e-05,1e-05,0.057934,1e-05,0.112776,1e-05,0.100956,0.020216,1e-05,1e-05,0.576616,1e-05,0.063177,0.005066,1e-05,1e-05,0.01908,1e-05
"53",0.013011,1e-05,1e-05,1e-05,0.110043,1e-05,0.113558,1e-05,0.105272,0.016036,1e-05,1e-05,0.485814,1e-05,0.153552,0.002594,1e-05,1e-05,1e-05,1e-05
"54",0.00395,1e-05,1e-05,1e-05,0.648438,1e-05,0.278266,0.058058,1e-05,1e-05,1e-05,1e-05,0.011137,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"55",1.2e-05,1e-05,1e-05,1e-05,0.549448,1e-05,0.254784,0.06187,1e-05,1e-05,1e-05,1e-05,0.133735,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"56",0.017872,1e-05,1e-05,1e-05,0.552058,1e-05,0.178819,0.026435,1e-05,0.012385,1e-05,1e-05,0.154873,1e-05,0.010441,0.01422,1e-05,1e-05,0.032788,1e-05
"57",0.029061,1e-05,1e-05,1e-05,0.62635,1e-05,0.169182,0.022874,1e-05,0.024536,1e-05,1e-05,0.127702,1e-05,1e-05,1e-05,1e-05,1e-05,0.000165,1e-05
"58",0.012332,1e-05,1e-05,1e-05,0.027146,1e-05,0.920431,1e-05,1.2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.039929
"59",1e-05,1e-05,1e-05,1.5e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999805,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"60",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999809,1e-05,1.1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"61",1e-05,1e-05,1e-05,1e-05,1e-05,1.9e-05,1e-05,1e-05,1e-05,0.999801,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"62",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"63",1e-05,1e-05,1e-05,1e-05,1e-05,1.5e-05,1e-05,1e-05,1e-05,0.999805,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"64",1e-05,1.1e-05,1e-05,1e-05,1e-05,1e-05,1.7e-05,1e-05,1e-05,0.999801,1e-05,1.1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"65",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.3e-05,1e-05,1e-05,0.999807,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"66",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"67",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"68",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"69",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"70",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"71",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999809,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.1e-05,1e-05,1e-05,1e-05
"72",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.3e-05,0.999802,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.5e-05,1e-05
"73",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.124215,1e-05,0.515441,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.360174,1e-05,1e-05,1e-05
"74",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.7e-05,0.999803,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"75",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"76",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"77",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.043096,1e-05,0.919722,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.037012,1e-05,1e-05,1e-05
"78",0.008688,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.720103,1e-05,1e-05,1e-05,1e-05,1e-05,0.021673,0.230638,1e-05,0.01237,0.006388
"79",0.000278,0.015134,0.209139,1e-05,1e-05,0.01547,0.000401,1e-05,0.005781,0.660071,1e-05,0.010897,1e-05,1e-05,0.001126,0.022374,0.059238,1e-05,1e-05,1e-05
"80",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.3e-05,1e-05,1e-05,0.073348,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.926469
"81",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.014421,0.19515,1e-05,0.462629,1e-05,1e-05,0.212604,1e-05,1e-05,0.016701,0.025286,1e-05,1e-05,0.07308
"82",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"83",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"84",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.004483,0.195585,1e-05,0.441432,1e-05,0.015542,0.130161,1e-05,0.031151,1e-05,0.129944,1e-05,0.010501,0.041092
"85",1e-05,0.199983,1e-05,1e-05,1e-05,1e-05,1e-05,0.043873,1e-05,1e-05,1e-05,1e-05,0.425636,0.018259,1e-05,1e-05,0.219702,1e-05,0.005769,0.086649
"86",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"87",1e-05,1.1e-05,1e-05,1.5e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999803,1e-05,1.1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"88",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999805,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.5e-05,1e-05,1e-05,1e-05
"89",1e-05,1e-05,1e-05,1e-05,0.011209,1e-05,1e-05,1e-05,1e-05,0.740056,1e-05,1e-05,1e-05,1e-05,1e-05,1.1e-05,0.181817,1e-05,0.066756,1e-05
"90",1e-05,1e-05,1e-05,1.4e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999797,1e-05,1e-05,1e-05,1e-05,1.8e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"91",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999807,1e-05,1e-05,1e-05,1e-05,1.3e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"92",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"93",1e-05,1e-05,1e-05,1e-05,1e-05,1.9e-05,1e-05,1e-05,1e-05,0.999801,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"94",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999807,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.3e-05,1e-05,1e-05,1e-05
"95",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999802,1e-05,1.6e-05,1e-05,1e-05,1e-05,1e-05,1.1e-05,1e-05,1e-05,1e-05
"96",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999809,1e-05,1.1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"97",0.019572,0.116091,0.272846,1e-05,0.007103,1e-05,1e-05,1e-05,0.045006,0.103088,1e-05,0.007268,0.059125,1e-05,1e-05,1e-05,0.336019,1e-05,0.033782,1e-05
"98",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"99",0.003558,1e-05,1e-05,1e-05,1e-05,1e-05,0.007751,0.313129,1e-05,0.00174,1e-05,1e-05,0.441624,0.036419,1e-05,0.000591,1e-05,1e-05,1e-05,0.195068
"100",1e-05,1e-05,1e-05,1e-05,0.00068,1e-05,1e-05,1e-05,1e-05,0.99914,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"101",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.8e-05,0.999802,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"102",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"103",1e-05,1e-05,0.027018,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.330602,1e-05,1e-05,1e-05,1e-05,1e-05,0.12743,0.445636,1e-05,0.069164,1e-05
"104",1e-05,1e-05,1.6e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.544056,1e-05,1e-05,1e-05,1e-05,1e-05,0.08465,0.321167,1e-05,0.049962,1e-05
"105",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"106",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"107",1e-05,1e-05,0.162684,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.05413,0.776738,1e-05,0.006289,1e-05
"108",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"109",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"110",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.03575,0.899022,1e-05,0.065059,1e-05
"111",0.005952,1e-05,0.146338,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.04243,1e-05,1e-05,0.057295,1e-05,0.037025,0.004708,0.632446,1e-05,0.057659,0.016037
"112",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.088632,0.752306,1e-05,0.158893,1e-05
"113",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.040493,0.030855,1e-05,0.928482,1e-05
"114",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05,1e-05,1e-05,1e-05
"115",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.3e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.177046,1e-05,0.822771,1e-05
"116",1.6e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999804,1e-05
"117",1e-05,1.2e-05,1.2e-05,1e-05,1.1e-05,1e-05,1e-05,1e-05,1.1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.2e-05,1e-05,0.999802,1e-05
"118",1e-05,1e-05,1e-05,1e-05,0.003062,1e-05,0.003294,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.03677,1e-05,0.809766,1e-05,0.108095,0.038873
"119",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05
"120",1e-05,1e-05,0.597879,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.401941,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"121",1e-05,1e-05,0.128584,1e-05,1e-05,0.011086,0.031769,1e-05,1e-05,0.056067,1e-05,1e-05,0.011433,1e-05,1e-05,0.006495,0.754437,1e-05,1e-05,1e-05
"122",0.058622,1e-05,0.486927,1e-05,1e-05,0.036864,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.019738,0.397698,1e-05,1e-05,1e-05
"123",0.028651,0.011616,0.266535,1e-05,1e-05,9.2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.020778,1e-05,0.027345,1e-05,0.644854,1e-05,1e-05,1e-05
"124",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05
"125",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05,1e-05,1e-05,1e-05
"126",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.349184,1e-05,1e-05,0.650636,1e-05
"127",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.165868,1e-05,0.833952,1e-05
"128",0.050202,1e-05,1e-05,1.3e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.019149,1e-05,1e-05,1e-05,1e-05,0.007471,0.087945,0.505813,1e-05,0.329276,1e-05
"129",0.041581,1e-05,0.33004,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.004973,1e-05,1e-05,1e-05,1e-05,1e-05,0.121395,0.487472,1e-05,0.014399,1e-05
"130",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999809,1e-05
"131",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05,1e-05,1e-05,1e-05
"132",1e-05,1e-05,0.70259,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.29723,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"133",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05
