"","V1","V2","V3","V4","V5","tg_ecotypeid","latitude","longitude"
"39",1e-05,1e-05,0.32251,0.67746,1e-05,870,41.8266,-86.4366
"40",1e-05,1e-05,0.131509,0.014123,0.854348,915,41.8972,-71.4378
"41",1e-05,1e-05,0.733165,0.266805,1e-05,932,42.3634,-71.1445
"42",1e-05,0.085891,0.024369,0.036465,0.853265,991,55.3833,14.05
"43",1e-05,0.045404,1e-05,0.033218,0.921358,992,55.3833,14.05
"44",1e-05,0.104454,1e-05,0.040036,0.855491,997,55.3833,14.05
"45",1e-05,0.081519,1e-05,0.057256,0.861205,1002,55.3833,14.05
"46",1e-05,0.12151,0.005519,0.063915,0.809047,1006,55.3833,14.05
"47",1e-05,0.069666,1e-05,0.049646,0.880669,1061,55.7167,14.1333
"48",1e-05,1e-05,1e-05,0.022688,0.977282,1062,55.7167,14.1333
"49",1e-05,1e-05,1e-05,0.023116,0.976854,1063,55.7167,14.1333
"50",1e-05,0.037684,1e-05,0.023234,0.939063,1066,55.7167,14.1333
"51",1e-05,0.055168,1e-05,1e-05,0.944802,1070,55.7167,14.1333
"52",0.035625,0.166123,0.017235,0.033419,0.747597,1158,56.7,16.5167
"53",1e-05,0.223676,1e-05,0.030415,0.745888,1166,56.7,16.5167
"54",1e-05,0.658162,1e-05,0.009389,0.332429,1254,59.4333,17.0167
"55",1e-05,0.552554,1e-05,1e-05,0.447416,1257,59.4333,17.0167
"56",1e-05,0.48914,1e-05,0.058834,0.452006,1313,59.5667,16.8667
"57",1e-05,0.527808,1e-05,0.055824,0.416348,1317,59.5667,16.8667
"58",0.054728,0.945237,1.4e-05,1e-05,1e-05,1552,63.0833,18.3667
"59",1e-05,1e-05,1e-05,0.99996,1e-05,1612,41.9,-86.583
"60",1e-05,1e-05,1.9e-05,0.999951,1e-05,1622,41.9,-86.583
"61",1e-05,1e-05,1e-05,0.99996,1e-05,1651,43.3431,-86.4045
"62",1e-05,1e-05,1e-05,0.99996,1e-05,1652,43.3431,-86.4045
"63",1e-05,1e-05,1e-05,0.99996,1e-05,1676,41.879,-86.607
"64",1e-05,1e-05,1e-05,0.99996,1e-05,1684,41.879,-86.607
"65",1e-05,1e-05,1e-05,0.99996,1e-05,1739,42.405,-85.398
"66",1e-05,1e-05,1e-05,0.99996,1e-05,1741,42.405,-85.398
"67",1e-05,1e-05,1e-05,0.99996,1e-05,1756,42.184,-86.358
"68",1e-05,1e-05,1e-05,0.99996,1e-05,1757,42.184,-86.358
"69",1e-05,1e-05,1e-05,0.99996,1e-05,1793,41.847,-86.67
"70",1e-05,1e-05,1e-05,0.99996,1e-05,1797,41.847,-86.67
"71",1e-05,1e-05,1e-05,0.99996,1e-05,1819,41.8,-86.67
"72",1e-05,1e-05,1e-05,0.99996,1e-05,1820,41.8,-86.67
"73",1e-05,1e-05,0.203228,0.558539,0.238213,1829,42.051,-86.509
"74",1e-05,1e-05,1e-05,0.99996,1e-05,1834,42.051,-86.509
"75",1e-05,1e-05,1e-05,0.99996,1e-05,1835,42.051,-86.509
"76",1e-05,1e-05,1e-05,0.99996,1e-05,1851,43.595,-86.2657
"77",1e-05,1e-05,0.022007,0.921997,0.055976,1852,43.595,-86.2657
"78",0.003078,1e-05,0.209896,0.733922,0.053094,1853,43.595,-86.2657
"79",1e-05,1e-05,0.14559,0.681823,0.172567,1872,43.595,-86.2657
"80",0.967283,1e-05,1e-05,1e-05,0.032687,1890,43.5139,-86.1859
"81",0.148538,0.002551,0.040444,0.471967,0.336499,1925,43.5251,-86.1843
"82",1e-05,1e-05,1e-05,0.99996,1e-05,1942,43.5251,-86.1843
"83",1e-05,1e-05,1e-05,0.99996,1e-05,1943,43.5251,-86.1843
"84",0.089828,1e-05,0.12155,0.455382,0.33323,1954,43.5187,-86.1739
"85",0.199007,1e-05,0.218161,0.012781,0.570042,2016,43.5356,-86.1788
"86",1e-05,1e-05,1e-05,0.99996,1e-05,2017,43.5356,-86.1788
"87",1e-05,1e-05,1e-05,0.99996,1e-05,2031,42.166,-86.412
"88",1e-05,1e-05,1e-05,0.99996,1e-05,2053,42.166,-86.412
"89",1e-05,1e-05,0.227249,0.772721,1e-05,2057,42.166,-86.412
"90",1e-05,1e-05,1e-05,0.99996,1e-05,2081,43.2483,-86.3368
"91",1e-05,1e-05,1e-05,0.99996,1e-05,2091,43.2483,-86.3368
"92",1e-05,1e-05,1e-05,0.99996,1e-05,2106,43.2749,-86.0891
"93",1e-05,1.6e-05,1e-05,0.999954,1e-05,2108,43.2749,-86.0891
"94",1e-05,1e-05,1e-05,0.99996,1e-05,2141,43.2749,-86.0891
"95",1e-05,1e-05,1e-05,0.99996,1e-05,2159,42.148,-86.431
"96",1e-05,1e-05,1e-05,0.99996,1e-05,2166,42.148,-86.431
"97",1e-05,1e-05,0.337365,0.139973,0.522642,2171,42.148,-86.431
"98",1e-05,1e-05,1e-05,0.99996,1e-05,2191,43.7623,-86.3929
"99",0.382885,1e-05,1e-05,0.015126,0.601968,2202,43.7623,-86.3929
"100",1e-05,1e-05,1e-05,0.99996,1e-05,2212,43.7623,-86.3929
"101",1e-05,1e-05,1e-05,0.99996,1e-05,2239,42.184,-86.382
"102",1e-05,1e-05,1e-05,0.99996,1e-05,2240,42.184,-86.382
"103",1e-05,1e-05,0.626422,0.373548,1e-05,2276,43.665,-86.496
"104",1e-05,1.5e-05,0.424192,0.575773,1e-05,2278,43.665,-86.496
"105",1e-05,1e-05,1e-05,0.99996,1e-05,2285,43.665,-86.496
"106",1e-05,1e-05,1e-05,0.99996,1e-05,2286,43.665,-86.496
"107",1e-05,1e-05,0.703321,0.034315,0.262344,2317,42.03,-86.514
"108",1e-05,1e-05,1e-05,0.99996,1e-05,2370,41.865,-86.646
"109",1e-05,1e-05,1e-05,0.99996,1e-05,2412,41.865,-86.646
"110",1e-05,0.02649,0.890931,0.055187,0.027381,4779,50.4,-4.9
"111",0.032769,0.000183,0.58893,0.077624,0.300493,4807,50.4,-4.9
"112",1e-05,1e-05,0.985561,0.014409,1e-05,4826,50.4,-4.9
"113",1e-05,1e-05,0.968143,0.031827,1e-05,4840,50.4,-4.9
"114",1e-05,1e-05,0.969713,0.030257,1e-05,4857,50.3,-4.9
"115",1e-05,1e-05,0.971651,0.028319,1e-05,4884,50.3,-4.9
"116",1e-05,1e-05,0.998233,0.001737,1e-05,4900,50.3,-4.8
"117",1e-05,1e-05,0.95871,0.04126,1e-05,4939,50.4,-4.7
"118",0.030538,0.034279,0.720953,0.034788,0.179442,4958,50.5,-4.5
"119",1e-05,1e-05,0.996181,0.003789,1e-05,5023,51.3,0.5
"120",0.082839,1e-05,1e-05,0.034986,0.882155,5104,51.3,0.5
"121",1e-05,0.026171,0.638944,0.082929,0.251946,5151,52.2,-1.7
"122",1e-05,1e-05,0.511509,0.041932,0.446539,5165,51.3,0.4
"123",1e-05,1e-05,0.558331,0.021858,0.419791,5210,51.2,0.3
"124",1e-05,1e-05,0.982228,0.017742,1e-05,5236,51.2,0.4
"125",1e-05,1e-05,0.951987,0.047983,1e-05,5249,51.2,0.3
"126",1e-05,1e-05,0.99996,1e-05,1e-05,5253,51.1,0.6
"127",1e-05,1e-05,0.990913,0.009057,1e-05,5276,51.3,1.1
"128",1e-05,0.008557,0.851485,0.080386,0.059562,5279,51.3,1.1
"129",1e-05,1e-05,0.556599,0.045058,0.398322,5349,51.1,0.4
"130",1e-05,1e-05,0.988968,0.011002,1e-05,5353,54.5,-3
"131",1e-05,1e-05,0.969101,0.030869,1e-05,5395,54.4,-3
"132",0.035626,1e-05,1e-05,0.005041,0.959313,5486,54.6,-3.3
"133",1e-05,1e-05,0.99996,1e-05,1e-05,5577,54.7,-3.4
"134",1e-05,1e-05,0.867318,0.023155,0.109508,5644,54.4,-2.9
"135",1e-05,1e-05,0.975609,0.024361,1e-05,5651,54.4,-2.9
"136",1e-05,1e-05,0.958258,0.041712,1e-05,5717,54.6,-3.2
"137",1e-05,1e-05,0.972166,0.027804,1e-05,5718,57,-3.4
"138",1e-05,0.216224,0.465899,0.085768,0.232098,5720,53.3,-1.6
"139",1e-05,1e-05,0.99996,1e-05,1e-05,5726,51.3,1.1
"140",1e-05,0.075013,0.565112,0.055467,0.304398,5741,56.6,-4.1
"141",1e-05,1e-05,0.148068,0.085879,0.766033,5748,56,-4.4
"142",1e-05,0.013905,0.021333,0.012437,0.952316,5757,54.6,-2.3
"143",1e-05,1e-05,0.546247,0.026103,0.42763,5768,54.1,-1.5
"144",1e-05,1e-05,0.316548,1e-05,0.683422,5772,54.1,-2.3
"145",1e-05,1e-05,0.969484,0.030486,1e-05,5776,52.9,-1.3
"146",1e-05,1e-05,0.756732,0.029919,0.213329,5779,51,-3.1
"147",1e-05,0.397225,0.334578,0.010406,0.257781,5784,56.4,-5.2
"148",1e-05,1e-05,0.957459,0.042511,1e-05,5798,53.1,-3.3
"149",1e-05,1e-05,0.192711,0.036404,0.770866,5800,57.4,-5.5
"150",1e-05,1e-05,0.601923,0.066433,0.331624,5811,52.9,-3.1
"151",1e-05,0.499405,0.124553,0.054734,0.321298,5822,56.7333,-5.98333
"152",0.009865,0.038584,1e-05,0.01117,0.940371,5830,56.3333,15.9667
"153",0.023812,0.100248,1e-05,0.0233,0.85263,5831,56.3333,15.9667
"154",1e-05,0.165858,1e-05,0.047662,0.786461,5832,56.3333,15.9667
"155",1e-05,1e-05,1e-05,1e-05,0.99996,5836,55.86,13.51
"156",0.004159,1e-05,1e-05,1e-05,0.995811,5837,49.4013,16.2326
"157",1e-05,0.99996,1e-05,1e-05,1e-05,5856,63.0167,17.4914
"158",1e-05,0.806838,1e-05,0.024785,0.168358,5860,62.6814,18.0165
"159",1e-05,0.088249,1e-05,0.000286,0.911445,5865,55.76,14.12
"160",1e-05,0.076904,1e-05,1e-05,0.923066,5867,55.76,14.12
"161",1e-05,1e-05,1e-05,1e-05,0.99996,5874,49.4112,16.2815
"162",1e-05,1e-05,1e-05,1e-05,0.99996,5890,49.4112,16.2815
"163",1e-05,1e-05,1e-05,0.004224,0.995746,5893,49.4112,16.2815
"164",1e-05,1e-05,1e-05,1e-05,0.99996,5907,49.4112,16.2815
"165",1e-05,1e-05,1e-05,1e-05,0.99996,5921,49.4112,16.2815
"166",1e-05,1e-05,1e-05,1e-05,0.99996,5950,49.4112,16.2815
"167",1e-05,1e-05,1e-05,1e-05,0.99996,5984,49.4112,16.2815
"168",1e-05,1e-05,1e-05,1e-05,0.99996,5993,49.4112,16.2815
"169",1e-05,1e-05,1e-05,1e-05,0.99996,6008,49.1,16.2
"170",1e-05,0.99996,1e-05,1e-05,1e-05,6009,62.877,18.177
"171",1e-05,0.99996,1e-05,1e-05,1e-05,6010,62.877,18.177
"172",1e-05,0.99996,1e-05,1e-05,1e-05,6011,62.877,18.177
"173",1e-05,0.99996,1e-05,1e-05,1e-05,6012,62.877,18.177
"174",1e-05,0.99996,1e-05,1e-05,1e-05,6013,62.877,18.177
"175",0.055169,0.944801,1e-05,1e-05,1e-05,6016,62.9,18.4
"176",0.021527,0.978443,1e-05,1e-05,1e-05,6017,62.9,18.4
"177",1e-05,0.01328,0.033644,0.012269,0.940797,6019,56.06,14.29
"178",1e-05,1e-05,0.010797,0.004735,0.984448,6020,56.06,14.29
"179",1e-05,0.024992,1e-05,1e-05,0.974978,6021,56.06,14.29
"180",1e-05,0.026323,0.04673,0.01359,0.913348,6022,56.06,14.29
"181",1e-05,1e-05,1e-05,1e-05,0.99996,6023,55.7509,13.3712
"182",1e-05,1e-05,1e-05,1e-05,0.99996,6024,55.7509,13.3712
"183",1e-05,0.923938,1e-05,1e-05,0.076032,6025,62.6437,17.7339
"184",1e-05,0.786193,1e-05,1e-05,0.213777,6030,62.806,18.1896
"185",1e-05,1e-05,1e-05,0.065694,0.934276,6034,56.1,13.74
"186",1e-05,1e-05,1e-05,1e-05,0.99996,6035,56.1,13.74
"187",1e-05,0.018111,1e-05,0.045552,0.936316,6036,56.1,13.74
"188",1e-05,0.035613,1e-05,0.035384,0.928982,6038,56.1,13.74
"189",0.034174,1e-05,1e-05,0.010408,0.955399,6039,56.1,13.74
"190",1e-05,0.033947,1e-05,0.007084,0.958949,6040,55.66,13.4
"191",0.07307,1e-05,1e-05,0.045406,0.881504,6041,56.0328,14.775
"192",0.01226,1e-05,1e-05,0.022055,0.965665,6042,56.09,13.9
"193",1e-05,0.936066,1e-05,1e-05,0.063904,6043,62.801,18.079
"194",1e-05,0.959951,1e-05,1e-05,0.040019,6046,62.801,18.079
"195",1e-05,0.99996,1e-05,1e-05,1e-05,6064,62.9513,18.2763
"196",1e-05,0.99996,1e-05,1e-05,1e-05,6069,62.9513,18.2763
"197",1e-05,0.99996,1e-05,1e-05,1e-05,6070,62.9308,18.3448
"198",1e-05,0.99996,1e-05,1e-05,1e-05,6071,62.9308,18.3448
"199",0.0189,0.05154,0.0832,0.017256,0.829104,6073,56.1481,15.8155
"200",1e-05,0.197387,0.050249,0.021163,0.731191,6074,56.4573,16.1308
"201",1e-05,0.014163,0.037986,1e-05,0.947831,6076,55.6942,13.4504
"202",1e-05,0.019109,1e-05,0.007575,0.973296,6077,55.6942,13.4504
"203",1e-05,0.042702,1e-05,0.02676,0.930518,6085,55.7097,13.2145
"204",1e-05,0.421388,0.164766,0.043377,0.370458,6086,58.9,11.2
"205",1e-05,0.07421,1e-05,0.055091,0.870679,6087,56.4666,16.1284
"206",1e-05,0.070156,1e-05,0.031345,0.89848,6088,56.4666,16.1284
"207",1e-05,0.02833,1e-05,1e-05,0.97164,6090,55.6525,13.2197
"208",1e-05,0.005553,1e-05,1e-05,0.994417,6091,55.6525,13.215
"209",1e-05,0.013865,1e-05,0.007948,0.978166,6092,55.6514,13.2233
"210",1e-05,0.044967,0.033352,0.028323,0.893347,6094,55.6494,13.2147
"211",1e-05,1e-05,1e-05,0.011981,0.987989,6095,55.6486,13.2161
"212",1e-05,0.015527,1e-05,0.01783,0.966623,6096,55.6472,13.2225
"213",1e-05,0.030611,1e-05,0.009225,0.960145,6097,55.6481,13.2264
"214",1e-05,0.090642,0.052559,0.065215,0.791574,6098,55.6561,13.2178
"215",1e-05,0.051421,0.062366,0.049641,0.836562,6099,55.6575,13.2386
"216",1e-05,0.034162,1e-05,1e-05,0.965808,6100,55.6,13.2
"217",1e-05,0.091611,0.094377,0.007898,0.806103,6101,55.6,13.2
"218",1e-05,0.024009,1e-05,0.018319,0.957652,6102,55.6,13.2
"219",1e-05,0.062667,1e-05,1e-05,0.937303,6104,55.7,13.2
"220",1e-05,0.054633,1e-05,0.010838,0.934509,6105,55.7967,13.1211
"221",0.00251,0.021521,1e-05,0.021879,0.95408,6106,55.7931,13.1186
"222",1e-05,1e-05,1e-05,0.00447,0.9955,6107,55.7942,13.1222
"223",1e-05,0.026492,0.78864,0.033716,0.151142,6108,55.7989,13.1206
"224",1e-05,0.015036,1e-05,0.037713,0.947231,6109,55.7936,13.1233
"225",1e-05,0.016073,1e-05,0.023537,0.96037,6111,55.7989,13.1219
"226",1e-05,0.020884,1e-05,0.040379,0.938717,6112,55.7967,13.1044
"227",1e-05,1e-05,1e-05,0.017993,0.981977,6113,55.8078,13.1028
"228",1e-05,0.058306,1e-05,0.008032,0.933642,6114,55.8097,13.1342
"229",0.001008,1e-05,1e-05,0.026612,0.97236,6115,55.8,13.1367
"230",1e-05,0.024968,1e-05,0.000465,0.974546,6118,55.7,13.2
"231",1e-05,0.043427,1e-05,0.032508,0.924045,6119,55.7,13.2
"232",1e-05,1e-05,1e-05,0.008786,0.991184,6122,55.8364,13.3075
"233",1e-05,0.014805,1e-05,0.019765,0.96541,6123,55.8369,13.3033
"234",1e-05,0.033679,1e-05,0.019564,0.946737,6124,55.8378,13.3092
"235",1e-05,1e-05,1e-05,1e-05,0.99996,6125,55.8403,13.3106
"236",1e-05,1e-05,1e-05,0.041322,0.958648,6126,55.8411,13.3047
"237",1e-05,0.00265,1e-05,0.033255,0.964076,6128,55.8397,13.2881
"238",1e-05,1e-05,1e-05,0.011473,0.988497,6131,55.8369,13.3181
"239",1e-05,0.075272,1e-05,0.024603,0.900106,6132,55.8386,13.3186
"240",1e-05,0.000349,1e-05,1e-05,0.999621,6133,55.8364,13.2906
"241",1e-05,0.027265,1e-05,0.02549,0.947224,6134,55.8383,13.2906
"242",1e-05,1e-05,1e-05,1e-05,0.99996,6136,55.9336,13.5519
"243",1e-05,1e-05,1.6e-05,1e-05,0.999954,6137,55.9419,13.5603
"244",1e-05,0.045234,1e-05,0.019022,0.935724,6138,55.9403,13.5511
"245",1e-05,0.035204,1e-05,0.007265,0.957511,6140,55.9392,13.5539
"246",1e-05,1e-05,1e-05,0.033549,0.966421,6141,55.9414,13.5542
"247",1e-05,0.010941,1e-05,1e-05,0.989029,6142,55.9428,13.5558
"248",1e-05,1e-05,1e-05,1e-05,0.99996,6145,55.9497,13.5533
"249",1e-05,0.049336,1e-05,0.008225,0.94242,6148,55.9319,13.5508
"250",1e-05,0.006615,1e-05,0.028982,0.964383,6149,55.9281,13.5481
"251",1e-05,1e-05,1e-05,0.011976,0.987994,6150,55.9261,13.5319
"252",1e-05,0.087029,0.185999,0.050719,0.676243,6151,55.6528,13.2244
"253",1e-05,0.932163,1e-05,1e-05,0.067807,6153,62.6425,17.7422
"254",1e-05,0.991213,1e-05,1e-05,0.008757,6154,62.6422,17.7406
"255",1e-05,0.987746,1e-05,1e-05,0.012224,6163,62.6425,17.7356
"256",1e-05,0.943491,1e-05,1e-05,0.056479,6166,62.6425,17.7372
"257",1e-05,0.99996,1e-05,1e-05,1e-05,6169,62.8714,18.3447
"258",1e-05,0.99996,1e-05,1e-05,1e-05,6172,62.8717,18.3436
"259",1e-05,0.99996,1e-05,1e-05,1e-05,6173,62.8717,18.3419
"260",1e-05,0.99996,1e-05,1e-05,1e-05,6174,62.8719,18.3422
"261",0.035067,0.908076,1e-05,0.015492,0.041355,6177,62.6322,17.69
"262",0.019274,1e-05,0.202058,0.039482,0.739177,6180,62.6322,17.6906
"263",1e-05,0.891471,1e-05,0.033125,0.075384,6184,62.8892,18.4522
"264",1e-05,1e-05,1e-05,0.008255,0.991715,6188,55.7683,14.1386
"265",1e-05,0.002988,1e-05,0.045776,0.951216,6189,55.7686,14.1383
"266",1e-05,1e-05,1e-05,0.037546,0.962424,6191,55.7689,14.1375
"267",1e-05,1e-05,0.013149,0.095511,0.89132,6192,55.7692,14.1369
"268",1e-05,1e-05,1e-05,0.036407,0.963563,6193,55.7694,14.1347
"269",1e-05,0.089417,1e-05,0.092522,0.81804,6194,55.7706,14.1342
"270",1e-05,0.039871,1e-05,0.005968,0.954141,6195,55.7708,14.1342
"271",1e-05,0.048861,1e-05,0.019636,0.931483,6198,55.7708,14.1331
"272",1e-05,0.09093,1e-05,0.044831,0.86422,6201,55.7719,14.1211
"273",1e-05,0.076249,1e-05,0.045439,0.878292,6202,55.7717,14.1206
"274",0.052659,0.010091,1e-05,0.016684,0.920556,6203,55.7714,14.1208
"275",1e-05,0.99996,1e-05,1e-05,1e-05,6209,62.8836,18.1842
"276",1e-05,0.99996,1e-05,1e-05,1e-05,6210,62.8839,18.1836
"277",1e-05,0.99996,1e-05,1e-05,1e-05,6214,63.0175,18.3281
"278",1e-05,0.99996,1e-05,1e-05,1e-05,6216,63.0167,18.3283
"279",1e-05,0.99996,1e-05,1e-05,1e-05,6217,63.0169,18.3283
"280",0.123711,0.876259,1e-05,1e-05,1e-05,6218,63.0172,18.3283
"281",1e-05,0.879967,1e-05,0.02907,0.090943,6220,62.806,18.1896
"282",1e-05,0.99996,1e-05,1e-05,1e-05,6221,62.806,18.1896
"283",1e-05,0.99996,1e-05,1e-05,1e-05,6231,62.96,18.2844
"284",1e-05,0.99996,1e-05,1e-05,1e-05,6235,62.9611,18.3589
"285",1e-05,0.99996,1e-05,1e-05,1e-05,6237,62.9619,18.35
"286",1e-05,0.99996,1e-05,1e-05,1e-05,6238,62.9619,18.35
"287",1e-05,0.99996,1e-05,1e-05,1e-05,6240,62.9622,18.35
"288",1e-05,0.99996,1e-05,1e-05,1e-05,6241,62.9614,18.3608
"289",1e-05,0.040781,0.055333,0.081556,0.822321,6242,55.7,13.2
"290",0.012772,1e-05,1e-05,0.000103,0.987105,6243,56.27373,13.90045
"291",1e-05,0.99996,1e-05,1e-05,1e-05,6244,62.9169,18.4728
"292",1e-05,0.429786,1e-05,0.071872,0.498321,6252,55.5796,14.3336
"293",1e-05,0.422595,1e-05,0.0518,0.525585,6255,55.5796,14.334
"294",1e-05,0.168662,0.045418,0.049229,0.736681,6258,55.5796,14.3336
"295",1e-05,0.463257,1e-05,0.078915,0.457808,6268,55.5796,14.3336
"296",1e-05,0.47381,1e-05,0.076704,0.449466,6276,55.5796,14.3336
"297",1e-05,0.098384,1e-05,0.03544,0.866155,6284,55.5796,14.3336
"298",0.026179,1e-05,1e-05,1e-05,0.973791,6296,49.2771,16.6314
"299",1e-05,1e-05,1e-05,1e-05,0.99996,6390,49.2771,16.6314
"300",0.022491,1e-05,1e-05,0.005624,0.971864,6396,49.2771,16.6314
"301",0.007978,0.057075,1e-05,0.001641,0.933296,6413,56.06,13.97
"302",1e-05,1e-05,1e-05,1e-05,0.99996,6424,49.3853,16.2544
"303",0.162067,1e-05,1e-05,1e-05,0.837903,6434,49.3853,16.2544
"304",1e-05,1e-05,1e-05,1e-05,0.99996,6445,49.3853,16.2544
"305",1e-05,1e-05,0.729584,1e-05,0.270386,6680,51.85,6.4333
"306",1e-05,1e-05,1e-05,0.99996,1e-05,6739,40.8585,-73.4675
"307",1e-05,1e-05,1e-05,0.99996,1e-05,6740,40.8585,-73.4675
"308",1e-05,1e-05,0.43816,0.302123,0.259697,6744,40.8585,-73.4675
"309",1e-05,1e-05,1e-05,0.99996,1e-05,6749,42.4489,-76.5072
"310",1e-05,1e-05,1e-05,0.99996,1e-05,6750,42.4489,-76.5072
"311",1e-05,1e-05,1e-05,0.99996,1e-05,6805,42.373,-71.0627
"312",1e-05,1e-05,1e-05,0.99996,1e-05,6806,42.373,-71.0627
"313",1e-05,1e-05,1e-05,0.99996,1e-05,6814,41.2816,-86.621
"314",0.630557,1e-05,1e-05,0.002228,0.367195,6830,49.5,73.1
"315",1e-05,1e-05,0.840194,0.007442,0.152345,6897,45,1.3
"316",1e-05,1e-05,0.53504,0.062852,0.402088,6898,51.2167,4.4
"317",1e-05,0.882594,1e-05,1e-05,0.117376,6900,63.324,18.484
"318",1e-05,0.907443,1e-05,1e-05,0.092527,6901,63.324,18.484
"319",1e-05,1e-05,1e-05,1e-05,0.99996,6903,49.4013,16.2326
"320",1e-05,1e-05,0.708823,0.000562,0.290595,6904,49.2,16.6166
"321",1e-05,0.013899,0.420223,0.080266,0.485602,6907,51.4083,-0.6383
"322",1e-05,1e-05,0.952369,0.047601,1e-05,6908,51.4083,-0.6383
"323",1e-05,1e-05,0.219105,0.046051,0.734824,6909,38.3,-92.3
"324",0.053241,0.654893,0.291846,1e-05,1e-05,6911,15.1111,-23.6167
"325",1e-05,0.99996,1e-05,1e-05,1e-05,6913,62.877,18.177
"326",1e-05,1e-05,0.385509,0.022497,0.591975,6915,50.3,6.3
"327",0.071945,0.928025,1e-05,1e-05,1e-05,6917,63.0165,18.3174
"328",1e-05,0.99996,1e-05,1e-05,1e-05,6918,63.0165,18.3174
"329",0.031611,1e-05,0.037783,0.005675,0.924921,6919,50.3,8
"330",1e-05,0.19753,0.280023,0.066966,0.455471,6920,51.5338,9.9355
"331",1e-05,1e-05,0.161927,0.05724,0.780813,6922,50.3,8
"332",1e-05,1e-05,0.99996,1e-05,1e-05,6923,51.4083,-0.6383
"333",1e-05,1e-05,0.99996,1e-05,1e-05,6924,51.4083,-0.6383
"334",0.011658,1e-05,0.943897,0.015705,0.02873,6926,44.46,-85.37
"335",1e-05,1e-05,1e-05,0.99996,1e-05,6927,41.2816,-86.621
"336",0.999958,1e-05,1e-05,1.2e-05,1e-05,6929,38.48,68.49
"337",0.99996,1e-05,1e-05,1e-05,1e-05,6931,49.5,73.1
"338",0.192297,1e-05,1e-05,1e-05,0.807673,6932,47.984,10.8719
"339",1e-05,1e-05,0.99996,1e-05,1e-05,6933,41.59,2.49
"340",0.630245,1e-05,1e-05,1e-05,0.369725,6938,55.7522,37.6322
"341",1e-05,1e-05,0.149738,1e-05,0.850232,6940,50.3,8.3
"342",1e-05,1e-05,0.942979,0.056991,1e-05,6943,51.4083,-0.6383
"343",1e-05,1e-05,0.99125,0.00872,1e-05,6944,51.4083,-0.6383
"344",1e-05,1e-05,0.390024,0.083773,0.526183,6945,52.24,4.45
